ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
SV0001,2,8,3,1,1,"1, 2, 3",1,2,4,5,1,2,1
SV0002,5,1,4,10,1,"4, 5, 6","1, 2",3,2,1,3,1,4
SV0003,4,7,6,2,1,"1, 4",4,1,4,5,3,3,5
SV0004,1,10,4,12,2,"4, 5, 6",3,3,5,1,3,4,1
SV0005,4,5,5,3,1,3,"1, 3",3,5,2,4,4,1
